spp,treatment,rep,LA1,gs
RET,WW,1,757,0.167
RET,WW,2,718,0.219
RET,WW,3,1179,0.17
RET,WW,4,1309,0.178
RET,WD,6,1496,0.0461
RET,WD,7,1245,0.0795
RET,WD,8,1308,NA
RET,WD,9,1223,NA
RET,WD,10,939,0.0274
LEO,WW,1,638,0.199
LEO,WW,2,737,0.223
LEO,WW,3,768,0.159
LEO,WW,4,1007,0.141
LEO,WD,6,1271,0.131
LEO,WD,7,1004,0.096
LEO,WD,8,1111,0.257
LEO,WD,9,1408,0.1431224021424455
GRO,WW,1,450,0.264
GRO,WW,2,549,0.159
GRO,WW,3,NA,0.183
GRO,WW,4,565,0.112
GRO,WW,5,545,0.447
GRO,WD,6,365,NA
GRO,WD,7,620,0.0471
GRO,WD,8,552,0.15
GRO,WD,9,401,0.113
GRO,WD,10,396,NA
COM,WW,1,405,0.305
COM,WW,2,293,0.497
COM,WW,3,364,0.458
COM,WW,4,435,0.347
COM,WW,5,388,NA
COM,WD,6,314,0.268
COM,WD,7,314,0.187
COM,WD,8,409,NA
COM,WD,9,299,NA
COM,WD,10,303,0.228
EJU,WW,1,1107,0.269
EJU,WW,2,1096,0.205
EJU,WW,3,1654,0.286
EJU,WW,4,1209,0.18
EJU,WW,5,1534,NA
EJU,WD,6,1333,0.0741
EJU,WD,7,1124,0.165
EJU,WD,8,1233,0.109
EJU,WD,9,1286,0.06477039062795216
EJU,WD,10,1567,NA
MAG,WW,1,936,0.294
MAG,WW,2,735,NA
MAG,WW,3,885,0.166
MAG,WW,4,719,0.252
MAG,WW,5,831,0.26
MAG,WD,7,900,0.0833
MAG,WD,8,985,0.161
MAG,WD,9,938,0.109
MAG,WD,10,994,0.202
GIB,WW,1,329,0.41626863344688586
GIB,WW,2,457,0.363590457226675
GIB,WW,3,534,0.208
GIB,WW,4,617,0.249
GIB,WW,5,503,0.293
GIB,WD,6,349,0.124
GIB,WD,7,263,NA
GIB,WD,8,447,0.0847
GIB,WD,9,468,0.0776
ANT,WW,1,494,0.252
ANT,WW,2,674,0.384
ANT,WW,3,873,0.181
ANT,WW,4,851,0.198
ANT,WW,5,613,NA
ANT,WD,6,765,NA
ANT,WD,7,NA,0.13
ANT,WD,8,322,0.060041013852663166
ANT,WD,9,766,NA
ANT,WD,10,534,0.0589
BIF,WW,1,1130,0.265
BIF,WW,2,1099,0.2565324388244931
BIF,WW,3,1175,NA
BIF,WW,4,1172,0.237
BIF,WW,5,911,0.317
BIF,WD,6,1056,0.0907
BIF,WD,7,1054,0.234
BIF,WD,8,791,0.204
BIF,WD,9,1138,0.13179132735042035
BIF,WD,10,933,NA
BAR,WW,1,533,0.578
BAR,WW,2,414,0.2549642598607104
BAR,WW,3,NA,0.417
BAR,WW,4,462,0.413
BAR,WW,5,536,0.35
BAR,WD,6,243,0.201
BAR,WD,7,267,0.423
BAR,WD,8,372,0.21
BAR,WD,9,235,0.184
