spp,treatment,rep,surface,sd,si,sp
ANT,WD,10,aB,39.26352105530189,0.1286778326644026,32.2042039489065
ANT,WD,10,aD,36.73039066463725,0.12986301369863013,26.9120741323245
ANT,WD,6,aB,45.59634703196348,0.15804334554334554,32.421627595587765
ANT,WD,6,aD,40.530086250634206,0.14707876890975483,25.780961084780344
ANT,WD,8,aB,49.39604261796044,0.13155422197975392,27.59750058447217
ANT,WD,8,aD,50.66260781329276,0.15117344428560914,24.390342394423076
ANT,WD,9,aB,44.32978183663116,0.16928783987607518,31.398269962381246
ANT,WD,9,aD,41.796651445966525,0.17838885950995945,30.177254468555397
ANT,WW,1,aB,44.32978183663116,0.12697546740099933,27.612803128520117
ANT,WW,1,aD,32.93069507864029,0.15597701149425286,27.07976451084993
ANT,WW,2,aB,54.462303399289716,0.16126819708846585,23.369535185224546
ANT,WW,2,aD,53.1957382039574,0.15529798094231084,20.092877940957685
ANT,WW,3,aB,56.995433789954355,0.1555367496422064,25.983719793415656
ANT,WW,3,aD,51.92917300862508,0.18219485308092903,22.996535674055814
ANT,WW,4,aB,54.462303399289716,0.14429738562091504,30.584047097830013
ANT,WW,4,aD,53.1957382039574,0.18889689978370583,22.739580455250685
BAR,WD,6,aB,58.261998985286674,0.19322650393032514,27.103355932923847
BAR,WD,6,aD,59.52856418061899,0.20555311408969945,24.899151984017344
BAR,WD,7,aB,75.99391171993913,0.26078571763257163,23.980999341140468
BAR,WD,7,aD,67.1279553526129,0.23327052274420695,26.35608169858239
BAR,WD,8,aB,110.19117199391175,0.3380940474954948,20.60296274255595
BAR,WD,8,aD,107.65804160324711,0.32804584836048584,19.5005419651017
BAR,WD,9,aB,59.52856418061899,0.21717011128775834,25.072580816560755
BAR,WD,9,aD,70.92765093860986,0.24339257233994074,24.75377781556184
BAR,WW,1,aB,69.66108574327754,0.22941176470588234,27.909289919449108
BAR,WW,1,aD,63.32825976661595,0.21355953319428544,25.935261737263822
BAR,WW,2,aB,53.1957382039574,0.21563460061443931,30.21806125268326
BAR,WW,2,aD,55.728868594622035,0.21835154826958106,26.04748039361544
BAR,WW,3,aB,64.59482496194826,0.208102357973159,29.080572145119127
BAR,WW,3,aD,59.52856418061899,0.22804301473996477,29.56770313064547
BAR,WW,4,aB,50.66260781329276,0.18229985383745623,31.38551784234129
BAR,WW,4,aD,50.66260781329276,0.19949440231130372,25.87086353106204
BIF,WD,6,aB,41.796651445966525,0.12750601443464313,28.64189921574462
BIF,WD,6,aD,48.12947742262812,0.14734430786268524,28.013219697774755
BIF,WD,7,aB,53.1957382039574,0.16550962587547954,29.341990605938236
BIF,WD,7,aD,60.79512937595131,0.18017300037423875,30.075875114237743
BIF,WD,8,aB,60.79512937595131,0.15958731115800756,29.368770058022147
BIF,WD,8,aD,69.66108574327754,0.20226429895877904,24.684278761344075
BIF,WD,9,aB,31.664129883307975,0.09187013596403734,34.416696775838986
BIF,WD,9,aD,35.46382546930493,0.11518869818327812,33.40800408067842
BIF,WW,1,aB,63.32825976661594,0.16114663606055638,23.19100550466515
BIF,WW,1,aD,59.52856418061899,0.1486458156269477,18.56836199018087
BIF,WW,2,aB,53.1957382039574,0.13557168222158167,23.84455165671293
BIF,WW,2,aD,58.261998985286674,0.1528258604067392,20.23060083738922
BIF,WW,3,aB,51.29589041095892,0.13552724768837301,28.415549085035387
BIF,WW,3,aD,58.261998985286674,0.14444736509049136,23.162313234575247
COM,WD,6,aB,48.12947742262812,0.17421359715880264,26.84767592612272
COM,WD,6,aD,58.261998985286674,0.2028886598725142,23.31151303904274
COM,WD,7,aB,63.32825976661594,0.2000514403292181,28.316082548723728
COM,WD,7,aD,68.39452054794522,0.19861340812223133,25.955665129327752
COM,WD,8,aB,54.462303399289716,0.1798763995429633,29.540923678561562
COM,WD,8,aD,53.1957382039574,0.18358515834012087,28.085269176000512
COM,WD,9,aB,56.995433789954355,0.17588961510530138,27.996004335720816
COM,WD,9,aD,62.061694571283624,0.2087913613146791,26.743108541795074
COM,WW,1,aB,50.66260781329276,0.17679662802950474,27.2053728932435
COM,WW,1,aD,53.1957382039574,0.1824620673304884,27.98006418567087
COM,WW,2,aB,51.92917300862508,0.1632412000944956,27.3239676096151
